OBJECTID,LOCID,CITY_NAME,FULLNAME,FAC_CYSTZP,LATITUDE,LONGITUDE
287,NA13,VELVA,LINRUD AIRSTRIP,"VELVA, ND 58790",48.12223167,-100.9370944
288,BWP,WAHPETON,HARRY STERN,"WAHPETON, ND 58074",46.24410858,-96.60736081
289,NA99,WALCOTT,BAKKO AIRSTRIP,"WALCOTT, ND 58077",46.55052056,-97.03203139
290,96D,WALHALLA,WALHALLA MUNI,"WAHALLA, ND 58282",48.94057222,-97.902775
291,5C8,WASHBURN,WASHBURN MUNI,"WASHBURN, ND 58577",47.35305,-101.0273681
292,3NA2,WASHBURN,LORENTZEN,"WASHBURN, ND 58577",47.30277167,-101.0670922
205,2ND4,MINOT,TRINITY MEDICAL CENTER,"MINOT, ND 58701",48.23195389,-101.2921067
206,MIB,MINOT,MINOT AFB,"MINOT, ND 58701",48.4155,-101.3576667
207,MOT,MINOT,MINOT INTL,"MINOT, ND 58703",48.25937778,-101.2803339
208,D06,MINTO,MINTO MUNI,"MINTO, ND 58261",48.28332139,-97.39202111
209,HBC,MOHALL,MOHALL MUNI,"MOHALL, ND 58761",48.76838333,-101.5369953
210,8NA5,MONTPELIER,LIECHTY FARM,"MONTPELIER, ND 58472",46.66303583,-98.63037528
211,3P3,MOTT,MOTT MUNI,"MOTT, ND 58646",46.359725,-102.3229389
212,1NA0,MOUNTAIN,BOHN AIRSTRIP,"CAVALIER, ND 58220",48.73221611,-97.8895425
213,5B5,NAPOLEON,NAPOLEON MUNI,"NAPOLEON, ND 58561",46.49442389,-99.76010861
214,NA67,NECHE,HORSLEY AIRSTRIP,"NECHE, ND 58265",48.98387889,-97.46452
215,6NA6,NEWBURG,MARSH BROTHERS AIRSTRIP,"NEWBURG, ND 58762",48.61918583,-100.9784864
216,6NA7,NEWBURG,KERSTEN BROTHERS,"NEWBURG, ND 58762",48.73029583,-100.9215408
217,2ND7,NEWBURG,JOHNSON,"SOURIS, ND 58783",48.75168139,-100.8140372
218,94ND,NEWBURG,MICHAEL ZURCHER FARM STRIP,"NEWBURG, ND 58762",48.66585028,-100.9184842
219,8J7,NEW ROCKFORD,TOMLINSON FIELD,"NEW ROCKFORD, ND 58356",47.69638722,-99.13122861
293,S25,WATFORD CITY,WATFORD CITY MUNI,"WATFORD CITY, ND 58854",47.79569972,-103.2536992
294,NA17,WEST FARGO,JACOB GUST,"FARGO, ND 58102",46.94274611,-96.92897278
295,ND52,WEST FARGO,TRUE NORTH AIRPARK,"FARGO, ND 58104",46.80277778,-97.01222222
296,NA54,WESTFIELD,MOSER AIRSTRIP,"POLLOCK, SD 57648",45.95499528,-100.4420717
297,D64,WESTHOPE,WESTHOPE MUNI,"WESTHOPE, ND 58793",48.91335306,-101.03349
298,ND68,WHEATLAND,VINING,"WHEATLAND, ND 58079",46.95580806,-97.3012
299,ND23,WILLISTON,WRIGHT FLD,"WILLISTON, ND 58801",48.18807917,-103.6201961
300,NA18,WILLISTON,HOUGHT AIRSTRIP,"WILLISTON, ND 58801",48.41335833,-103.83576
301,4NA0,WILLISTON,LINDVIG AIRSTRIP,"WILLISTON, ND 58801",48.00835806,-103.5907531
302,4NA1,WILLISTON,RING ROCK RANCH,"WILLISTON, ND 58801",48.25474556,-103.6726972
303,ISN,WILLISTON,SLOULIN FLD INTL,"WILLISTON, ND 58801",48.17793861,-103.6423467
304,2NA0,WILTON,SODERQUIST,"WILTON, ND 58579",47.25666028,-100.7962453
305,6L5,WISHEK,WISHEK MUNI,"WISHEK, ND 58495",46.2463625,-99.53789
306,4ND8,WYNDMERE,SANDEN,"WYNDMERE, ND 58081",46.35412861,-97.11703194
307,NA20,WYNDMERE,HUDSON'S STRIP,"DELAMERE, ND 58022",46.24801639,-97.25731222
308,NA21,WYNDMERE,THOMPSON PRIVATE,"WYNDMERE, ND 58081",46.22829389,-97.23620083
309,ND49,WYNDMERE,KRAUSE PRIVATE,"WYNDMERE, ND 58081",46.22357111,-97.13036528
